"On a scale from 1 to 10, how do you estimate your programming experience?",How do you estimate your programming experience compared to your classmates?,How experienced are you with the following language: Python?,How experienced are you with the following language: Jayvee?,How experienced are you with: Data engineering?,Group,isExit,student_id_anon
7,4,2,2,3,A,True,136
7,3,4,3,3,B,True,47
10,4,5,4,5,B,True,27
4,2,3,1,2,A,True,116
9,5,3,3,3,B,True,11
8,4,4,3,3,B,True,52
9,4,4,5,5,B,True,53
8,4,5,3,4,A,True,86
8,4,4,4,4,B,True,14
7,3,4,2,4,A,True,153
9,4,5,4,5,B,True,29
8,4,3,2,3,B,True,15
8,5,5,3,4,B,True,28
9,4,3,4,4,A,True,135
10,5,5,4,5,B,True,21
8,5,5,3,4,B,True,32
8,4,5,3,4,B,True,55
7,4,5,3,4,B,True,63
7,3,3,2,2,A,True,120
7,3,4,3,4,B,True,50
9,4,5,1,4,B,True,70
9,4,4,4,4,A,True,89
8,4,3,5,4,B,True,77
10,4,5,3,5,A,True,124
8,3,4,3,4,A,True,141
7,3,4,2,3,A,True,151
8,4,4,3,4,B,True,22
9,4,4,4,5,A,True,122
7,4,4,4,4,A,True,99
9,4,5,4,5,B,True,20
9,3,4,1,4,A,True,140
8,4,4,3,5,B,True,24
8,4,5,3,3,B,True,18
