"On a scale from 1 to 10, how do you estimate your programming experience?",How do you estimate your programming experience compared to your classmates?,How experienced are you with the following language: Python?,How experienced are you with the following language: Jayvee?,How experienced are you with: Data engineering?,Group,isExit,student_id_anon,semester
6,3,3,1,2,B,False,10,ws2324
7,3,3,1,3,A,False,150,ws2324
9,4,4,2,4,A,False,98,ws2324
9,4,4,1,4,A,False,86,ws2324
6,3,3,1,3,B,False,37,ws2324
7,4,3,1,2,B,False,13,ws2324
9,4,5,2,3,A,False,154,ws2324
3,2,3,1,2,A,False,132,ws2324
8,4,3,3,2,A,False,127,ws2324
5,3,2,1,2,B,False,54,ws2324
4,3,3,1,2,B,False,73,ws2324
5,3,3,1,3,B,False,66,ws2324
5,3,3,1,3,B,False,45,ws2324
7,3,3,1,1,A,False,93,ws2324
7,3,4,1,2,A,False,85,ws2324
7,4,5,1,3,B,False,23,ws2324
6,3,3,1,2,A,False,82,ws2324
9,4,4,4,4,B,False,40,ws2324
8,4,5,1,4,B,False,35,ws2324
8,4,4,1,3,B,False,28,ws2324
10,5,5,4,5,A,False,87,ws2324
8,3,4,2,3,A,False,143,ws2324
8,5,5,1,2,A,False,110,ws2324
6,2,2,1,1,B,False,71,ws2324
8,3,4,1,3,A,False,89,ws2324
8,3,4,1,3,B,False,34,ws2324
6,3,4,1,3,B,False,57,ws2324
7,3,4,1,3,A,False,122,ws2324
6,3,4,2,4,B,False,53,ws2324
7,3,4,1,2,B,False,52,ws2324
8,4,4,2,4,B,False,48,ws2324
8,4,4,1,4,B,False,24,ws2324
8,4,4,2,4,B,False,55,ws2324
5,3,3,1,3,A,False,124,ws2324
9,4,4,1,4,B,False,63,ws2324
9,4,4,1,3,B,False,70,ws2324
5,2,2,1,3,A,False,126,ws2324
8,3,4,1,3,B,False,61,ws2324
3,2,2,1,2,A,False,139,ws2324
7,3,4,1,3,B,False,33,ws2324
7,3,4,1,2,A,False,102,ws2324
7,4,2,1,3,B,False,72,ws2324
8,4,4,3,4,A,False,129,ws2324
7,3,3,1,2,A,False,111,ws2324
5,3,3,1,2,B,False,56,ws2324
4,2,3,2,2,B,False,39,ws2324
5,2,2,1,1,B,False,3,ws2324
6,3,2,1,2,A,False,107,ws2324
5,3,1,1,4,B,False,59,ws2324
5,3,3,1,3,B,False,67,ws2324
8,4,2,1,3,B,False,6,ws2324
8,3,3,1,2,B,False,60,ws2324
8,4,5,1,2,A,False,117,ws2324
9,5,4,1,4,A,False,80,ws2324
8,3,5,1,4,A,False,142,ws2324
6,3,3,1,1,A,False,123,ws2324
7,3,3,1,4,B,False,49,ws2324
6,3,3,1,2,B,False,62,ws2324
6,3,3,1,3,B,False,69,ws2324
7,3,3,1,3,A,False,147,ws2324
8,4,4,1,4,B,False,51,ws2324
7,3,3,3,4,A,False,116,ws2324
3,2,2,1,1,A,False,114,ws2324
8,3,5,1,2,A,False,94,ws2324
5,2,3,1,2,A,False,115,ws2324
7,3,3,1,3,A,False,88,ws2324
8,4,5,3,3,B,True,68,ws2324
8,4,4,5,4,A,True,98,ws2324
8,3,4,3,4,A,True,104,ws2324
7,3,4,4,5,A,True,137,ws2324
7,3,4,2,4,A,True,147,ws2324
7,3,3,3,3,A,True,95,ws2324
9,4,4,1,3,A,True,96,ws2324
7,3,4,2,3,B,True,61,ws2324
10,5,5,3,5,A,True,81,ws2324
6,2,3,3,2,A,True,115,ws2324
10,4,4,4,4,A,True,142,ws2324
7,3,4,2,3,A,True,102,ws2324
8,5,5,3,5,A,True,110,ws2324
7,4,5,1,3,A,True,100,ws2324
8,4,4,2,3,B,True,42,ws2324
8,4,5,3,3,B,True,25,ws2324
10,5,5,5,5,B,True,46,ws2324
8,4,4,3,3,A,True,118,ws2324
6,3,4,3,3,B,True,45,ws2324
4,1,3,4,3,B,True,0,ws2324
8,4,4,4,4,A,True,113,ws2324
7,3,4,3,3,B,True,13,ws2324
8,3,3,2,4,B,True,1,ws2324
7,3,4,3,2,B,True,7,ws2324
6,3,3,2,3,B,True,62,ws2324
5,3,4,3,3,A,True,91,ws2324
7,3,4,4,4,B,True,4,ws2324
7,4,4,2,4,B,True,5,ws2324
7,4,3,4,4,B,True,74,ws2324
7,3,3,2,3,A,True,152,ws2324
8,4,5,4,4,B,True,75,ws2324
10,5,5,5,5,A,True,138,ws2324
10,5,5,5,5,B,True,64,ws2324
8,3,4,2,3,A,True,154,ws2324
7,4,3,4,3,A,True,144,ws2324
9,4,5,4,4,A,True,129,ws2324
6,4,2,3,2,B,True,17,ws2324
5,3,3,2,3,B,True,54,ws2324
9,4,3,3,4,A,True,112,ws2324
7,4,5,3,5,B,True,44,ws2324
10,5,5,5,5,B,True,36,ws2324
8,3,4,3,4,A,True,148,ws2324
9,4,5,3,4,A,True,92,ws2324
7,4,2,2,3,A,True,136,ws2324
7,3,4,3,3,B,True,47,ws2324
10,4,5,4,5,B,True,27,ws2324
4,2,3,1,2,A,True,116,ws2324
9,5,3,3,3,B,True,11,ws2324
8,4,4,3,3,B,True,52,ws2324
9,4,4,5,5,B,True,53,ws2324
8,4,5,3,4,A,True,86,ws2324
8,4,4,4,4,B,True,14,ws2324
7,3,4,2,4,A,True,153,ws2324
9,4,5,4,5,B,True,29,ws2324
8,4,3,2,3,B,True,15,ws2324
8,5,5,3,4,B,True,28,ws2324
9,4,3,4,4,A,True,135,ws2324
10,5,5,4,5,B,True,21,ws2324
8,5,5,3,4,B,True,32,ws2324
8,4,5,3,4,B,True,55,ws2324
7,4,5,3,4,B,True,63,ws2324
7,3,3,2,2,A,True,120,ws2324
7,3,4,3,4,B,True,50,ws2324
9,4,5,1,4,B,True,70,ws2324
9,4,4,4,4,A,True,89,ws2324
8,4,3,5,4,B,True,77,ws2324
10,4,5,3,5,A,True,124,ws2324
8,3,4,3,4,A,True,141,ws2324
7,3,4,2,3,A,True,151,ws2324
8,4,4,3,4,B,True,22,ws2324
9,4,4,4,5,A,True,122,ws2324
7,4,4,4,4,A,True,99,ws2324
9,4,5,4,5,B,True,20,ws2324
9,3,4,1,4,A,True,140,ws2324
8,4,4,3,5,B,True,24,ws2324
8,4,5,3,3,B,True,18,ws2324
